Commande produits finis pour livraison SEDIS;;;;;;;;;;;;;;;;;
Commande 2019-36;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
N° DE SEMAINE : S19;;;;;;;;;;;;;;;;;
Reçu le: ;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
N°CDE;CODE EAN;CODE BOX;MODELE;QTE;LIBELLE;COLORIS;TYPE;LARG;LONG;Commentaires;Pays;PP/NPP;CONTRAT;VIG;Laize;EMP ;Cons 
47;3 609 251 715 632;23 609 251 715 636;VEXIN;20;Drap Vexin;ORAGE;DP;240;310;;France ;PP PAKISTAN;CONTRAT 2041;Sans Made in;280;3,25;65
48;3 609 251 715 649;23 609 251 715 643;VEXIN;20;Drap Vexin;ORAGE;DP;270;310;;France ;PP PAKISTAN;CONTRAT 2041;Sans Made in;280;3,25;65
49;3 609 251 716 899;23 609 251 716 893;VEXIN;10;Housse couette Vexin;ORAGE;HC;240;220;;France ;PP PAKISTAN;CONTRAT 2041;Sans Made in;280;4,86;48,6
50;3 609 251 716 905;23 609 251 716 909;VEXIN;10;Housse couette Vexin;ORAGE;HC;260;240;;France ;PP PAKISTAN;CONTRAT 2041;Sans Made in;280;5,26;52,6
51;3 609 251 717 834;23 609 251 717 838;VEXIN;60;Taie Vexin;ORAGE;TU;50;75;;France ;PP PAKISTAN;CONTRAT 2041;Sans Made in;280;0,51;30,6
52;3 609 251 717 827;23 609 251 717 821;VEXIN;70;Taie Vexin;ORAGE;TU;65;65;;France ;PP PAKISTAN;CONTRAT 2041;Sans Made in;280;0,61;42,7
53;3 609 251 717 100;23 609 251 717 104;VEXIN;25;Traversin Vexin;ORAGE;TR;43;210;;France ;PP PAKISTAN;CONTRAT 2041;Sans Made in;280;0,74;18,5
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
